X: (Deg),Y: (Hits)
-0.142054,0
0.0383728,1361
0.2188,2042
0.399227,2239
0.579654,2472
0.76008,2770
0.940507,2847
1.12093,3012
1.30136,3357
1.48179,3540
1.66221,3685
1.84264,3802
2.02307,4041
2.2035,4168
2.38392,4158
2.56435,4197
2.74478,4056
2.9252,4220
3.10563,4239
3.28606,4229
3.46648,4208
3.64691,4316
3.82734,4099
4.00776,4137
4.18819,3954
4.36862,3966
4.54905,3922
4.72947,3862
4.9099,3729
5.09033,3556
5.27075,3314
5.45118,3215
5.63161,3154
5.81203,2994
5.99246,2628
6.17289,2628
6.35331,2571
6.53374,2353
6.71417,2048
6.89459,1956
7.07502,1722
7.25545,1678
7.43588,1525
7.6163,1367
7.79673,1256
7.97716,1073
8.15758,926
8.33801,829
8.51844,728
8.69886,604
8.87929,520
9.05972,430
9.24014,416
9.42057,338
9.601,289
9.78143,254
9.96185,231
10.1423,214
10.3227,197
10.5031,178
10.6836,176
10.864,191
11.0444,197
11.2248,176
11.4053,198
11.5857,151
11.7661,169
11.9465,154
12.127,166
12.3074,153
12.4878,132
12.6683,119
12.8487,103
13.0291,93
13.2095,79
13.39,75
13.5704,61
13.7508,53
13.9312,33
14.1117,18
14.2921,19
14.4725,17
14.653,9
14.8334,6
15.0138,4
15.1942,2
15.3747,0
15.5551,1
15.7355,1
15.9159,0
16.0964,0
16.2768,0
16.4572,0
16.6376,0
16.8181,0
16.9985,0
17.1789,0
17.3594,0
17.5398,0
17.7202,0
17.9006,0
18.0811,0
18.2615,0
18.4419,0
18.6223,0
18.8028,0
18.9832,0
19.1636,0
19.3441,0
19.5245,0
19.7049,0
19.8853,0
20.0658,0
20.2462,0
20.4266,0
20.607,0
20.7875,0
20.9679,0
21.1483,0
21.3287,0
21.5092,0
21.6896,0
21.87,0
22.0505,0
22.2309,0
22.4113,0
22.5917,0
22.7722,0
22.9526,0
23.133,0
23.3134,0
23.4939,0
23.6743,0
23.8547,0
24.0352,0
24.2156,0
24.396,0
24.5764,0
24.7569,0
24.9373,0
25.1177,0
25.2981,0
25.4786,0
25.659,0
25.8394,0
26.0198,0
26.2003,0
26.3807,0
26.5611,0
26.7416,0
26.922,0
27.1024,0
27.2828,0
27.4633,0
27.6437,0
27.8241,0
28.0045,0
28.185,0
28.3654,0
28.5458,0
28.7262,0
28.9067,0
29.0871,0
29.2675,0
29.448,0
29.6284,0
29.8088,0
29.9892,0
30.1697,0
30.3501,0
30.5305,0
30.7109,0
30.8914,0
31.0718,0
31.2522,0
31.4327,0
31.6131,0
31.7935,0
31.9739,0
32.1544,0
32.3348,0
32.5152,0
32.6956,0
32.8761,0
33.0565,0
33.2369,0
33.4173,0
33.5978,0
33.7782,0
33.9586,0
34.1391,0
34.3195,0
34.4999,0
34.6803,0
34.8608,0
35.0412,0
35.2216,0
35.402,0
35.5825,0
35.7629,0
35.9433,0
36.1238,0
36.3042,0
36.4846,0
36.665,0
36.8455,0
37.0259,0
37.2063,0
37.3867,0
37.5672,0
37.7476,0
37.928,0
38.1084,0
38.2889,0
38.4693,0
38.6497,0
38.8302,0
39.0106,0
39.191,0
39.3714,0
39.5519,0
39.7323,0
39.9127,0
40.0931,0
40.2736,0
40.454,0
40.6344,0
40.8149,0
40.9953,0
41.1757,0
41.3561,0
41.5366,0
41.717,0
41.8974,0
42.0778,0
42.2583,0
42.4387,0
42.6191,0
42.7995,0
42.98,0
43.1604,0
43.3408,0
43.5213,0
43.7017,0
43.8821,0
44.0625,0
44.243,0
44.4234,0
44.6038,0
44.7842,0
44.9647,0
45.1451,0
45.3255,0
45.506,0
45.6864,0
45.8668,0
46.0472,0
46.2277,0
46.4081,0
46.5885,0
46.7689,0
46.9494,0
47.1298,0
47.3102,0
47.4906,0
47.6711,0
47.8515,0
48.0319,0
48.2124,0
48.3928,0
48.5732,0
48.7536,0
48.9341,0
49.1145,0
49.2949,0
49.4753,0
49.6558,0
49.8362,0
50.0166,0
50.197,0
50.3775,0
50.5579,0
50.7383,0
50.9188,0
51.0992,0
51.2796,0
51.46,0
51.6405,0
51.8209,0
52.0013,0
52.1817,0
52.3622,0
52.5426,0
52.723,0
52.9035,0
53.0839,0
53.2643,0
53.4447,0
53.6252,0
53.8056,0
53.986,0
54.1664,0
54.3469,0
54.5273,0
54.7077,0
54.8881,0
55.0686,0
55.249,0
55.4294,0
55.6099,0
55.7903,0
55.9707,0
56.1511,0
56.3316,0
56.512,0
56.6924,0
56.8728,0
57.0533,0
57.2337,0
57.4141,0
57.5946,0
57.775,0
57.9554,0
58.1358,0
58.3163,0
58.4967,0
58.6771,0
58.8575,0
59.038,0
59.2184,0
59.3988,0
59.5792,0
59.7597,0
59.9401,0
60.1205,0
60.301,0
60.4814,0
60.6618,0
60.8422,0
61.0227,0
61.2031,0
61.3835,0
61.5639,0
61.7444,0
61.9248,0
62.1052,0
62.2857,0
62.4661,0
62.6465,0
62.8269,0
63.0074,0
63.1878,0
63.3682,0
63.5486,0
63.7291,0
63.9095,0
64.0899,0
64.2703,0
64.4508,0
64.6312,0
64.8116,0
64.9921,0
65.1725,0
65.3529,0
65.5333,0
65.7138,0
65.8942,0
66.0746,0
66.255,0
66.4355,0
66.6159,0
66.7963,0
66.9768,0
67.1572,0
67.3376,0
67.518,0
67.6985,0
67.8789,0
68.0593,0
68.2397,0
68.4202,0
68.6006,0
68.781,0
68.9614,0
69.1419,0
69.3223,0
69.5027,0
69.6832,0
69.8636,0
70.044,0
70.2244,0
70.4049,0
70.5853,0
70.7657,0
70.9461,0
71.1266,0
71.307,0
71.4874,0
71.6679,0
71.8483,0
72.0287,0
72.2091,0
72.3896,0
72.57,0
72.7504,0
72.9308,0
73.1113,0
73.2917,0
73.4721,0
73.6525,0
73.833,0
74.0134,0
74.1938,0
74.3743,0
74.5547,0
74.7351,0
74.9155,0
75.096,0
75.2764,0
75.4568,0
75.6372,0
75.8177,0
75.9981,0
76.1785,0
76.3589,0
76.5394,0
76.7198,0
76.9002,0
77.0807,0
77.2611,0
77.4415,0
77.6219,0
77.8024,0
77.9828,0
78.1632,0
78.3436,0
78.5241,0
78.7045,0
78.8849,0
79.0654,0
79.2458,0
79.4262,0
79.6066,0
79.7871,0
79.9675,0
80.1479,0
80.3283,0
80.5088,0
80.6892,0
80.8696,0
81.05,0
81.2305,0
81.4109,0
81.5913,0
81.7718,0
81.9522,0
82.1326,0
82.313,0
82.4935,0
82.6739,0
82.8543,0
83.0347,0
83.2152,0
83.3956,0
83.576,0
83.7565,0
83.9369,0
84.1173,0
84.2977,0
84.4782,0
84.6586,0
84.839,0
85.0194,0
85.1999,0
85.3803,0
85.5607,0
85.7411,0
85.9216,0
86.102,0
86.2824,0
86.4629,0
86.6433,0
86.8237,0
87.0041,0
87.1846,0
87.365,0
87.5454,0
87.7258,0
87.9063,0
88.0867,0
88.2671,0
88.4476,0
88.628,0
88.8084,0
88.9888,0
89.1693,0
89.3497,0
89.5301,0
89.7105,0
89.891,0
90.0714,0
90.2518,0
90.4322,0
90.6127,0
90.7931,0
90.9735,0
91.154,0
91.3344,0
91.5148,0
91.6952,0
91.8757,0
92.0561,0
92.2365,0
92.4169,0
92.5974,0
92.7778,0
92.9582,0
93.1387,0
93.3191,0
93.4995,0
93.6799,0
93.8604,0
94.0408,0
94.2212,0
94.4016,0
94.5821,0
94.7625,0
94.9429,0
95.1233,0
95.3038,0
95.4842,0
95.6646,0
95.8451,0
96.0255,0
96.2059,0
96.3863,0
96.5668,0
96.7472,0
96.9276,0
97.108,0
97.2885,0
97.4689,0
97.6493,0
97.8298,0
98.0102,0
98.1906,0
98.371,0
98.5515,0
98.7319,0
98.9123,0
99.0927,0
99.2732,0
99.4536,0
99.634,0
99.8144,0
99.9949,0
100.175,0
100.356,0
100.536,0
100.717,0
100.897,0
101.077,0
101.258,0
101.438,0
101.619,0
101.799,0
101.98,0
102.16,0
102.34,0
102.521,0
102.701,0
102.882,0
103.062,0
103.243,0
103.423,0
103.603,0
103.784,0
103.964,0
104.145,0
