Table Index,eLNA Index,eLNA Gain,iLNA Index,iLNA Gain,Mixer Index,Mixer Gain,Word 1,TIA Index,TIA Gain,LPF Index,Word 2,DC Cal,Digital Index,Word 3,Total Gain,,,,
0,0,0,0,-4,0,0,0,0,-6,0,0,1,0,20,-10,,,,
1,0,0,0,-4,0,0,0,0,-6,0,0,0,0,0,-10,,,,
2,0,0,0,-4,0,0,0,0,-6,0,0,0,0,0,-10,,,,
3,0,0,0,-4,0,0,0,0,-6,0,0,0,0,0,-10,,,,
4,0,0,0,-4,0,0,0,0,-6,0,0,0,0,0,-10,,,,
5,0,0,0,-4,0,0,0,0,-6,1,1,0,0,0,-9,,,,
6,0,0,0,-4,0,0,0,0,-6,2,2,0,0,0,-8,,,,
7,0,0,0,-4,0,0,0,0,-6,3,3,0,0,0,-7,,,,
8,0,0,0,-4,1,3,1,0,-6,1,1,1,0,20,-6,,,,
9,0,0,0,-4,1,3,1,0,-6,2,2,0,0,0,-5,,,,
10,0,0,0,-4,1,3,1,0,-6,3,3,0,0,0,-4,,,,
11,0,0,0,-4,1,3,1,0,-6,4,4,1,0,20,-3,,,,
12,0,0,0,-4,1,3,1,0,-6,5,5,0,0,0,-2,,,,
13,0,0,0,-4,1,3,1,0,-6,6,6,0,0,0,-1,,,,
14,0,0,0,-4,1,3,1,0,-6,7,7,0,0,0,0,,,,
15,0,0,0,-4,1,3,1,0,-6,8,8,0,0,0,1,,,,
16,0,0,0,-4,1,3,1,0,-6,9,9,0,0,0,2,,,,
17,0,0,0,-4,1,3,1,0,-6,10,A,0,0,0,3,,,,
18,0,0,0,-4,1,3,1,0,-6,11,B,0,0,0,4,,,,
19,0,0,0,-4,1,3,1,0,-6,12,C,0,0,0,5,,,,
20,0,0,0,-4,2,8,2,0,-6,8,8,1,0,20,6,,,,
21,0,0,0,-4,2,8,2,0,-6,9,9,0,0,0,7,,,,
22,0,0,0,-4,2,8,2,0,-6,10,A,0,0,0,8,,,,
23,0,0,0,-4,2,8,2,0,-6,11,B,1,0,20,9,,,,
24,0,0,0,-4,2,8,2,0,-6,12,C,0,0,0,10,,,,
25,0,0,0,-4,2,8,2,0,-6,13,D,0,0,0,11,,,,
26,0,0,0,-4,2,8,2,0,-6,14,E,0,0,0,12,,,,
27,0,0,0,-4,2,8,2,0,-6,15,F,0,0,0,13,,,,
28,0,0,0,-4,2,8,2,1,0,10,2A,1,0,20,14,,,,
