X: (Deg),Y: (Hits)
-0.198158,0
-0.0178979,50126
0.162362,172462
0.342622,248426
0.522882,327336
0.703141,393952
0.883401,435290
1.06366,441844
1.24392,405063
1.42418,334137
1.60444,245033
1.7847,157167
1.96496,89060
2.14522,44500
2.32548,19329
2.50574,7318
2.686,2404
2.86626,655
3.04652,170
3.22678,32
3.40704,1
3.5873,0
3.76756,0
3.94782,0
4.12808,0
4.30834,0
4.4886,0
4.66886,0
4.84912,0
5.02938,0
5.20964,0
5.3899,0
5.57016,0
5.75042,0
5.93068,0
6.11094,0
6.2912,0
6.47146,0
6.65172,0
6.83198,0
7.01224,0
7.1925,0
7.37275,0
7.55301,0
7.73327,0
7.91353,0
8.09379,0
8.27405,0
8.45431,0
8.63457,0
8.81483,0
8.99509,0
9.17535,0
9.35561,0
9.53587,0
9.71613,0
9.89639,0
10.0767,0
10.2569,0
10.4372,0
10.6174,0
10.7977,0
10.978,0
11.1582,0
11.3385,0
11.5187,0
11.699,0
11.8793,0
12.0595,0
12.2398,0
12.42,0
12.6003,0
12.7805,0
12.9608,0
13.1411,0
13.3213,0
13.5016,0
13.6818,0
13.8621,0
14.0424,0
14.2226,0
14.4029,0
14.5831,0
14.7634,0
14.9437,0
15.1239,0
15.3042,0
15.4844,0
15.6647,0
15.845,0
16.0252,0
16.2055,0
16.3857,0
16.566,0
16.7463,0
16.9265,0
17.1068,0
17.287,0
17.4673,0
17.6476,0
17.8278,0
18.0081,0
18.1883,0
18.3686,0
18.5489,0
18.7291,0
18.9094,0
19.0896,0
19.2699,0
19.4502,0
19.6304,0
19.8107,0
19.9909,0
20.1712,0
20.3515,0
20.5317,0
20.712,0
20.8922,0
21.0725,0
21.2528,0
21.433,0
21.6133,0
21.7935,0
21.9738,0
22.1541,0
22.3343,0
22.5146,0
22.6948,0
22.8751,0
23.0554,0
23.2356,0
23.4159,0
23.5961,0
23.7764,0
23.9567,0
24.1369,0
24.3172,0
24.4974,0
24.6777,0
24.858,0
25.0382,0
25.2185,0
25.3987,0
25.579,0
25.7593,0
25.9395,0
26.1198,0
26.3,0
26.4803,0
26.6606,0
26.8408,0
27.0211,0
27.2013,0
27.3816,0
27.5619,0
27.7421,0
27.9224,0
28.1026,0
28.2829,0
28.4632,0
28.6434,0
28.8237,0
29.0039,0
29.1842,0
29.3645,0
29.5447,0
29.725,0
29.9052,0
30.0855,0
30.2658,0
30.446,0
30.6263,0
30.8065,0
30.9868,0
31.1671,0
31.3473,0
31.5276,0
31.7078,0
31.8881,0
32.0684,0
32.2486,0
