Table Index,eLNA Index,eLNA Gain,iLNA Index,iLNA Gain,Mixer Index,Mixer Gain,Word 1,TIA Index,TIA Gain,LPF Index,Word 2,DC Cal,Digital Index,Word 3,Total Gain,,,,
0,0,0,0,5,0,0,0,0,-6,0,0,1,0,20,-1,,,,
1,0,0,0,5,0,0,0,0,-6,0,0,0,0,0,-1,,,,
2,0,0,0,5,0,0,0,0,-6,0,0,0,0,0,-1,,,,
3,0,0,0,5,0,0,0,0,-6,1,1,0,0,0,0,,,,
4,0,0,0,5,0,0,0,0,-6,2,2,0,0,0,1,,,,
5,0,0,0,5,0,0,0,0,-6,3,3,0,0,0,2,,,,
6,0,0,0,5,0,0,0,0,-6,4,4,0,0,0,3,,,,
7,0,0,0,5,0,0,0,0,-6,5,5,0,0,0,4,,,,
8,0,0,0,5,1,3,1,0,-6,3,3,1,0,20,5,,,,
9,0,0,0,5,1,3,1,0,-6,4,4,0,0,0,6,,,,
10,0,0,0,5,1,3,1,0,-6,5,5,0,0,0,7,,,,
11,0,0,0,5,1,3,1,0,-6,6,6,0,0,0,8,,,,
12,0,0,0,5,1,3,1,0,-6,7,7,0,0,0,9,,,,
13,0,0,0,5,1,3,1,0,-6,8,8,0,0,0,10,,,,
14,0,0,0,5,1,3,1,0,-6,9,9,0,0,0,11,,,,
15,0,0,0,5,1,3,1,0,-6,10,A,0,0,0,12,,,,
16,0,0,0,5,1,3,1,0,-6,11,B,0,0,0,13,,,,
17,0,0,0,5,1,3,1,0,-6,12,C,0,0,0,14,,,,
18,0,0,0,5,1,3,1,0,-6,13,D,0,0,0,15,,,,
19,0,0,0,5,1,3,1,0,-6,14,E,0,0,0,16,,,,
20,0,0,0,5,2,9,2,0,-6,9,9,1,0,20,17,,,,
21,0,0,0,5,2,9,2,0,-6,10,A,0,0,0,18,,,,
22,0,0,0,5,2,9,2,0,-6,11,B,0,0,0,19,,,,
23,0,0,0,5,2,9,2,0,-6,12,C,0,0,0,20,,,,
24,0,0,0,5,2,9,2,0,-6,13,D,0,0,0,21,,,,
25,0,0,0,5,2,9,2,0,-6,14,E,0,0,0,22,,,,
26,0,0,0,5,2,9,2,0,-6,15,F,0,0,0,23,,,,
27,0,0,0,5,2,9,2,0,-6,16,10,0,0,0,24,,,,
28,0,0,0,5,2,9,2,1,0,11,2B,1,0,20,25,,,,
29,0,0,0,5,2,9,2,1,0,12,2C,0,0,0,26,,,,
30,0,0,0,5,4,14,4,1,0,8,28,1,0,20,27,,,,
31,0,0,0,5,4,14,4,1,0,9,29,0,0,0,28,,,,
32,0,0,0,5,4,14,4,1,0,10,2A,0,0,0,29,,,,
33,0,0,0,5,4,14,4,1,0,11,2B,0,0,0,30,,,,
34,0,0,1,17,4,14,24,1,0,0,20,1,0,20,31,,,,
35,0,0,1,17,4,14,24,1,0,1,21,0,0,0,32,,,,
