X: (Deg),Y: (Hits)
0.701358,1492
2.1451,267
3.58884,77
5.03259,0
6.47633,0
7.92007,0
9.36381,0
10.8076,0
12.2513,0
13.695,0
15.1388,0
16.5825,0
18.0263,0
19.47,0
20.9138,0
22.3575,0
23.8012,0
25.245,0
26.6887,0
28.1325,0
29.5762,0
31.02,0
32.4637,0
33.9074,0
35.3512,0
36.7949,0
38.2387,0
39.6824,0
41.1262,0
42.5699,0
44.0136,0
45.4574,0
46.9011,0
48.3449,0
49.7886,0
51.2324,0
52.6761,0
54.1198,0
55.5636,0
57.0073,0
58.4511,0
59.8948,0
61.3386,0
62.7823,0
64.226,0
65.6698,0
67.1135,0
68.5573,0
70.001,0
71.4448,0
72.8885,0
74.3322,0
75.776,0
77.2197,0
78.6635,0
80.1072,0
81.551,0
82.9947,0
84.4384,0
85.8822,0
87.3259,0
88.7697,0
90.2134,0
91.6572,0
93.1009,0
94.5446,0
95.9884,0
97.4321,0
98.8759,0
100.32,0
101.763,0
103.207,0
104.651,0
106.095,0
107.538,0
108.982,0
110.426,0
111.87,0
113.313,0
114.757,0
116.201,0
117.645,0
119.088,0
120.532,0
121.976,0
123.419,0
124.863,0
126.307,0
127.751,0
129.194,0
130.638,0
132.082,0
133.526,0
134.969,0
136.413,0
137.857,0
139.301,0
140.744,0
142.188,0
143.632,0
145.076,0
146.519,0
147.963,0
149.407,0
150.851,0
152.294,0
153.738,0
155.182,0
156.626,0
158.069,0
159.513,0
160.957,0
162.401,0
163.844,0
165.288,0
166.732,0
168.176,0
169.619,0
171.063,0
172.507,0
173.95,0
175.394,0
176.838,0
178.282,0
179.725,0
181.169,0
182.613,0
184.057,0
185.5,0
186.944,0
188.388,0
189.832,0
191.275,0
192.719,0
194.163,0
195.607,0
197.05,0
198.494,0
199.938,0
201.382,0
202.825,0
204.269,0
205.713,0
207.157,0
208.6,0
210.044,0
211.488,0
212.932,0
214.375,0
215.819,0
217.263,0
218.707,0
220.15,0
221.594,0
223.038,0
224.481,0
225.925,0
227.369,0
228.813,0
230.256,0
231.7,0
233.144,0
234.588,0
236.031,0
237.475,0
238.919,0
240.363,0
241.806,0
243.25,0
244.694,0
246.138,0
247.581,0
249.025,0
250.469,0
251.913,0
253.356,0
254.8,0
256.244,0
257.688,0
259.131,0
260.575,0
262.019,0
263.463,0
264.906,0
266.35,0
267.794,0
269.238,0
270.681,0
272.125,0
273.569,0
275.012,0
276.456,0
277.9,0
279.344,0
280.787,0
282.231,0
283.675,0
285.119,0
286.562,0
288.006,0
289.45,0
290.894,0
292.337,0
293.781,0
295.225,0
296.669,0
298.112,0
299.556,0
301,0
302.444,0
303.887,0
305.331,0
306.775,0
308.219,0
309.662,0
311.106,0
312.55,0
313.994,0
315.437,0
316.881,0
318.325,0
319.769,0
321.212,0
322.656,0
324.1,0
325.543,0
326.987,0
328.431,0
329.875,0
331.318,0
332.762,0
334.206,0
335.65,0
337.093,0
338.537,0
339.981,0
341.425,0
342.868,0
344.312,0
345.756,0
347.2,0
348.643,0
350.087,0
351.531,0
352.975,0
354.418,116
355.862,1791
357.306,8048
358.75,98879
360.193,42976
