timestamp,buffer_voltage_mv,resistance,pwr_nw
1722350813064,45,1000000,1
1722350813066,44,1000000,1
1722350813068,43,1000000,1
1722350813070,43,1000000,1
1722350813072,43,1000000,1
1722350813074,43,1000000,1
1722350813076,42,1000000,1
1722350813078,42,1000000,1
1722350813080,42,1000000,1
1722350813082,43,1000000,1
1722350813084,45,1000000,1
1722350813086,44,1000000,2
1722350813088,43,1000000,1
1722350813090,43,1000000,1
1722350813092,42,1000000,1
1722350813094,42,1000000,1
1722350813096,43,1000000,1
1722350813098,42,1000000,1
1722350813100,42,1000000,1
1722350813103,43,1000000,1
1722350813104,45,1000000,2
1722350813106,44,1000000,2
1722350813109,43,1000000,1
1722350813111,43,1000000,1
1722350813112,43,1000000,1
1722350813114,42,1000000,1
1722350813117,42,1000000,1
1722350813119,42,1000000,1
1722350813121,42,1000000,1
1722350813123,43,1000000,1
1722350813125,45,1000000,1
1722350813127,44,1000000,1
1722350813129,43,1000000,1
1722350813131,43,1000000,1
1722350813133,43,1000000,1
1722350813135,42,1000000,1
1722350813137,42,1000000,1
1722350813139,42,1000000,1
1722350813141,42,1000000,1
1722350813143,43,1000000,1
1722350813145,45,1000000,1
1722350813147,44,1000000,1
1722350813149,43,1000000,1
1722350813151,43,1000000,1
1722350813153,42,1000000,1
1722350813155,42,1000000,1
1722350813157,42,1000000,1
1722350813159,42,1000000,1
1722350813161,42,1000000,1
1722350813163,43,1000000,1
1722350813165,45,1000000,2
1722350813167,44,1000000,2
1722350813169,43,1000000,1
1722350813171,43,1000000,1
1722350813173,42,1000000,1
1722350813175,42,1000000,1
1722350813177,42,1000000,1
1722350813179,42,1000000,1
1722350813181,43,1000000,1
1722350813183,43,1000000,1
1722350813185,45,1000000,2
1722350813187,44,1000000,2
1722350813189,43,1000000,1
1722350813191,43,1000000,1
1722350813193,43,1000000,1
1722350813195,42,1000000,1
1722350813197,42,1000000,1
1722350813199,42,1000000,1
1722350813201,42,1000000,1
1722350813203,43,1000000,1
1722350813205,45,1000000,2
1722350813207,44,1000000,1
1722350813209,43,1000000,1
1722350813211,43,1000000,1
1722350813214,43,1000000,1
1722350813216,42,1000000,1
1722350813217,42,1000000,1
1722350813220,42,1000000,1
1722350813222,43,1000000,1
1722350813224,44,1000000,1
1722350813226,45,1000000,1
1722350813228,44,1000000,1
1722350813230,43,1000000,1
1722350813232,43,1000000,1
1722350813234,42,1000000,1
1722350813236,42,1000000,1
1722350813238,42,1000000,1
1722350813240,42,1000000,1
1722350813242,42,1000000,1
1722350813244,44,1000000,1
1722350813246,45,1000000,2
1722350813248,44,1000000,1
1722350813250,43,1000000,1
1722350813252,43,1000000,1
1722350813254,42,1000000,1
1722350813256,42,1000000,1
1722350813258,42,1000000,1
1722350813260,42,1000000,1
1722350813262,43,1000000,1
1722350813264,44,1000000,1
1722350813266,44,1000000,2
1722350813268,44,1000000,1
1722350813270,43,1000000,1
1722350813272,43,1000000,1
1722350813274,42,1000000,1
1722350813276,42,1000000,1
1722350813278,42,1000000,1
1722350813280,42,1000000,1
1722350813282,43,1000000,1
1722350813284,43,1000000,1
1722350813286,44,1000000,2
1722350813288,43,1000000,1
1722350813290,43,1000000,1
1722350813292,43,1000000,1
1722350813294,42,1000000,1
1722350813296,42,1000000,1
1722350813298,42,1000000,1
1722350813300,42,1000000,1
1722350813302,43,1000000,1
1722350813304,45,1000000,1
1722350813306,44,1000000,1
1722350813308,43,1000000,1
1722350813310,43,1000000,1
1722350813312,43,1000000,1
1722350813314,42,1000000,1
1722350813317,42,1000000,1
1722350813319,42,1000000,1
1722350813320,42,1000000,1
1722350813323,43,1000000,1
1722350813325,45,1000000,1
1722350813327,44,1000000,2
1722350813329,43,1000000,1
1722350813331,43,1000000,1
1722350813333,42,1000000,1
1722350813335,42,1000000,1
1722350813337,42,1000000,1
1722350813339,42,1000000,1
1722350813341,42,1000000,1
1722350813343,43,1000000,1
1722350813345,45,1000000,2
1722350813347,44,1000000,2
1722350813349,43,1000000,1
1722350813351,43,1000000,1
1722350813353,43,1000000,1
1722350813355,42,1000000,1
1722350813357,43,1000000,1
1722350813359,42,1000000,1
1722350813361,42,1000000,1
1722350813363,43,1000000,1
1722350813365,45,1000000,1
1722350813367,44,1000000,2
1722350813369,43,1000000,1
1722350813371,43,1000000,1
1722350813373,43,1000000,1
1722350813375,42,1000000,1
1722350813377,42,1000000,1
1722350813379,42,1000000,1
1722350813381,42,1000000,1
1722350813383,43,1000000,1
1722350813385,45,1000000,1
1722350813387,44,1000000,1
1722350813389,43,1000000,1
1722350813391,43,1000000,1
1722350813393,43,1000000,1
1722350813395,42,1000000,1
1722350813397,42,1000000,1
1722350813399,42,1000000,1
1722350813401,42,1000000,1
1722350813403,43,1000000,1
1722350813405,45,1000000,1
1722350813407,44,1000000,1
1722350813409,43,1000000,1
1722350813411,43,1000000,1
1722350813413,42,1000000,1
1722350813415,42,1000000,1
1722350813417,43,1000000,1
1722350813420,42,1000000,1
1722350813422,42,1000000,1
1722350813422,43,1000000,1
1722350813424,45,1000000,2
1722350813427,44,1000000,2
1722350813429,43,1000000,1
1722350813431,43,1000000,1
1722350813433,43,1000000,1
1722350813435,42,1000000,1
1722350813437,42,1000000,1
1722350813439,42,1000000,1
1722350813441,42,1000000,1
1722350813443,43,1000000,1
1722350813445,45,1000000,2
1722350813447,44,1000000,1
1722350813449,43,1000000,1
1722350813451,42,1000000,1
1722350813453,43,1000000,1
1722350813455,42,1000000,1
1722350813457,42,1000000,1
1722350813459,42,1000000,1
1722350813461,42,1000000,1
1722350813463,43,1000000,1
1722350813465,45,1000000,1
1722350813467,44,1000000,1
1722350813469,43,1000000,1
1722350813471,43,1000000,1
1722350813473,42,1000000,1
1722350813475,42,1000000,1
1722350813477,42,1000000,1
1722350813479,42,1000000,1
1722350813481,42,1000000,1
1722350813483,44,1000000,1
1722350813485,45,1000000,2
1722350813487,44,1000000,1
1722350813489,43,1000000,1
1722350813491,43,1000000,1
1722350813493,42,1000000,1
1722350813495,42,1000000,1
1722350813497,43,1000000,1
1722350813499,42,1000000,1
1722350813501,43,1000000,1
1722350813503,43,1000000,1
1722350813505,45,1000000,2
1722350813507,44,1000000,2
1722350813509,43,1000000,1
1722350813511,43,1000000,1
1722350813513,42,1000000,1
1722350813515,42,1000000,1
1722350813517,42,1000000,1
1722350813519,42,1000000,1
1722350813521,42,1000000,1
1722350813524,43,1000000,1
1722350813525,45,1000000,2
1722350813527,43,1000000,1
1722350813530,43,1000000,1
1722350813532,43,1000000,1
1722350813534,43,1000000,1
1722350813536,42,1000000,1
1722350813538,42,1000000,1
1722350813540,42,1000000,1
1722350813542,43,1000000,1
1722350813544,45,1000000,1
1722350813546,45,1000000,2
1722350813548,43,1000000,1
1722350813550,43,1000000,1
1722350813552,43,1000000,1
1722350813554,42,1000000,1
1722350813556,42,1000000,1
1722350813558,42,1000000,1
1722350813560,42,1000000,1
1722350813562,42,1000000,1
1722350813564,44,1000000,1
1722350813566,44,1000000,2
1722350813568,44,1000000,1
1722350813570,43,1000000,1
1722350813572,43,1000000,1
1722350813574,42,1000000,1
1722350813576,42,1000000,1
1722350813578,42,1000000,1
1722350813580,42,1000000,1
1722350813582,43,1000000,1
1722350813584,44,1000000,1
1722350813586,44,1000000,2
1722350813588,44,1000000,1
1722350813590,43,1000000,1
1722350813592,43,1000000,1
1722350813594,42,1000000,1
1722350813596,42,1000000,1
1722350813598,42,1000000,1
1722350813600,42,1000000,1
1722350813602,43,1000000,1
1722350813604,44,1000000,1
1722350813606,45,1000000,2
1722350813608,43,1000000,1
1722350813610,43,1000000,1
1722350813612,43,1000000,1
1722350813614,42,1000000,1
1722350813616,42,1000000,1
1722350813618,42,1000000,1
1722350813620,42,1000000,1
1722350813622,43,1000000,1
1722350813624,45,1000000,1
1722350813627,45,1000000,2
1722350813628,43,1000000,1
1722350813630,43,1000000,1
1722350813633,42,1000000,1
1722350813635,42,1000000,1
1722350813636,43,1000000,1
1722350813639,42,1000000,1
1722350813641,42,1000000,1
1722350813643,43,1000000,1
1722350813645,45,1000000,1
1722350813647,44,1000000,2
1722350813649,44,1000000,1
1722350813651,43,1000000,1
1722350813653,43,1000000,1
1722350813655,42,1000000,1
1722350813657,43,1000000,1
1722350813659,42,1000000,1
1722350813661,43,1000000,1
1722350813663,43,1000000,1
1722350813665,44,1000000,1
1722350813667,44,1000000,2
1722350813669,43,1000000,1
1722350813671,43,1000000,1
1722350813673,43,1000000,1
1722350813675,42,1000000,1
1722350813677,42,1000000,1
1722350813679,42,1000000,1
1722350813681,42,1000000,1
1722350813683,43,1000000,1
1722350813685,45,1000000,1
1722350813687,44,1000000,2
1722350813689,43,1000000,1
1722350813691,43,1000000,1
1722350813693,43,1000000,1
1722350813695,42,1000000,1
1722350813697,42,1000000,1
1722350813699,42,1000000,1
1722350813701,43,1000000,1
1722350813703,43,1000000,1
1722350813705,45,1000000,1
1722350813707,44,1000000,2
1722350813709,43,1000000,1
1722350813711,43,1000000,1
1722350813713,43,1000000,1
1722350813715,42,1000000,1
1722350813717,42,1000000,1
1722350813719,42,1000000,1
1722350813721,42,1000000,1
1722350813723,43,1000000,1
1722350813725,45,1000000,1
1722350813727,44,1000000,2
1722350813730,43,1000000,1
1722350813731,43,1000000,1
1722350813733,42,1000000,1
1722350813736,42,1000000,1
1722350813738,42,1000000,1
1722350813740,42,1000000,1
1722350813742,42,1000000,1
1722350813744,43,1000000,1
1722350813746,45,1000000,2
1722350813748,44,1000000,2
1722350813750,43,1000000,1
1722350813752,43,1000000,1
1722350813754,43,1000000,1
1722350813756,42,1000000,1
1722350813758,43,1000000,1
1722350813760,42,1000000,1
1722350813762,42,1000000,1
1722350813764,43,1000000,1
1722350813766,45,1000000,2
1722350813768,44,1000000,1
1722350813770,43,1000000,1
1722350813772,43,1000000,1
1722350813774,43,1000000,1
1722350813776,42,1000000,1
1722350813778,42,1000000,1
1722350813780,42,1000000,1
1722350813782,42,1000000,1
1722350813784,43,1000000,1
1722350813786,45,1000000,1
1722350813788,44,1000000,1
1722350813790,43,1000000,1
1722350813792,43,1000000,1
1722350813794,42,1000000,1
1722350813795,42,1000000,1
1722350813797,42,1000000,1
1722350813799,42,1000000,1
1722350813801,42,1000000,1
1722350813803,44,1000000,1
1722350813805,45,1000000,2
1722350813807,44,1000000,2
1722350813809,43,1000000,1
1722350813811,43,1000000,1
1722350813813,42,1000000,1
1722350813815,42,1000000,1
1722350813817,42,1000000,1
1722350813819,42,1000000,1
1722350813821,42,1000000,1
1722350813823,44,1000000,1
1722350813825,44,1000000,2
1722350813827,44,1000000,1
1722350813829,43,1000000,1
1722350813832,43,1000000,1
1722350813833,42,1000000,1
1722350813835,42,1000000,1
1722350813838,42,1000000,1
1722350813840,42,1000000,1
1722350813841,43,1000000,1
1722350813844,43,1000000,1
1722350813846,44,1000000,2
1722350813848,43,1000000,1
1722350813850,43,1000000,1
1722350813852,43,1000000,1
1722350813854,42,1000000,1
1722350813856,42,1000000,1
1722350813858,42,1000000,1
1722350813860,42,1000000,1
1722350813862,43,1000000,1
1722350813864,45,1000000,1
1722350813866,44,1000000,2
1722350813868,44,1000000,1
1722350813870,43,1000000,1
1722350813872,43,1000000,1
1722350813874,42,1000000,1
1722350813876,42,1000000,1
1722350813878,42,1000000,1
1722350813880,42,1000000,1
1722350813882,42,1000000,1
1722350813884,45,1000000,1
1722350813886,44,1000000,2
1722350813888,44,1000000,1
1722350813890,43,1000000,1
1722350813892,43,1000000,1
1722350813894,43,1000000,1
1722350813896,43,1000000,1
1722350813898,42,1000000,1
1722350813900,42,1000000,1
1722350813902,43,1000000,1
1722350813904,44,1000000,1
1722350813906,44,1000000,2
1722350813908,44,1000000,1
1722350813910,43,1000000,1
1722350813912,43,1000000,1
