timestamp,buffer_voltage_mv,resistance,pwr_pw
1722516666392,43,1000000,1849
1722516666396,42,1000000,1764
1722516666400,43,1000000,1849
1722516666404,45,1000000,2025
1722516666408,43,1000000,1849
1722516666412,42,1000000,1764
1722516666416,42,1000000,1764
1722516666420,44,1000000,1936
1722516666424,44,1000000,1936
1722516666429,43,1000000,1849
1722516666432,42,1000000,1764
1722516666437,42,1000000,1764
1722516666441,44,1000000,1936
1722516666445,44,1000000,1936
1722516666449,43,1000000,1849
1722516666453,42,1000000,1764
1722516666457,42,1000000,1764
1722516666461,43,1000000,1849
1722516666464,44,1000000,1936
1722516666468,43,1000000,1849
1722516666472,42,1000000,1764
1722516666476,42,1000000,1764
1722516666480,43,1000000,1849
1722516666485,44,1000000,1936
1722516666488,43,1000000,1849
1722516666493,43,1000000,1849
1722516666497,42,1000000,1764
1722516666501,43,1000000,1849
1722516666505,44,1000000,1936
1722516666509,43,1000000,1849
1722516666513,42,1000000,1764
1722516666517,42,1000000,1764
1722516666521,44,1000000,1936
1722516666525,44,1000000,1936
1722516666529,43,1000000,1849
1722516666533,42,1000000,1764
1722516666538,42,1000000,1764
1722516666542,43,1000000,1849
1722516666546,44,1000000,1936
1722516666550,43,1000000,1849
1722516666554,42,1000000,1764
1722516666558,42,1000000,1764
1722516666562,44,1000000,1936
1722516666566,44,1000000,1936
1722516666569,43,1000000,1849
1722516666573,42,1000000,1764
1722516666577,42,1000000,1764
1722516666581,43,1000000,1849
1722516666586,44,1000000,1936
1722516666589,43,1000000,1849
1722516666594,42,1000000,1764
1722516666598,43,1000000,1849
1722516666602,44,1000000,1936
1722516666606,44,1000000,1936
1722516666610,43,1000000,1849
1722516666614,42,1000000,1764
1722516666618,43,1000000,1849
1722516666622,44,1000000,1936
1722516666626,44,1000000,1936
1722516666630,43,1000000,1849
1722516666634,42,1000000,1764
1722516666639,43,1000000,1849
1722516666643,45,1000000,2025
1722516666647,44,1000000,1936
1722516666651,43,1000000,1849
