timestamp,buffer_voltage_mv,resistance,pwr_nw
1722428408941,43,1000000,1
1722428408942,43,1000000,1
1722428408945,42,1000000,1
1722428408947,42,1000000,1
1722428408949,42,1000000,1
1722428408951,42,1000000,1
1722428408953,42,1000000,1
1722428408955,43,1000000,1
1722428408957,45,1000000,2
1722428408959,44,1000000,2
1722428408961,43,1000000,1
1722428408963,43,1000000,1
1722428408965,43,1000000,1
1722428408967,42,1000000,1
1722428408969,42,1000000,1
1722428408971,42,1000000,1
1722428408973,42,1000000,1
1722428408975,43,1000000,1
1722428408977,45,1000000,1
1722428408979,44,1000000,1
1722428408981,43,1000000,1
1722428408983,43,1000000,1
1722428408985,43,1000000,1
1722428408987,42,1000000,1
1722428408989,42,1000000,1
1722428408991,42,1000000,1
1722428408993,42,1000000,1
1722428408995,44,1000000,1
1722428408997,45,1000000,1
1722428408999,44,1000000,1
1722428409001,43,1000000,1
1722428409003,43,1000000,1
1722428409005,42,1000000,1
1722428409007,42,1000000,1
1722428409009,42,1000000,1
1722428409011,42,1000000,1
1722428409013,43,1000000,1
1722428409014,43,1000000,1
1722428409016,45,1000000,2
1722428409018,44,1000000,1
1722428409020,43,1000000,1
1722428409022,43,1000000,1
1722428409024,42,1000000,1
1722428409026,42,1000000,1
1722428409028,42,1000000,1
1722428409030,42,1000000,1
1722428409033,42,1000000,1
1722428409034,43,1000000,1
1722428409036,45,1000000,2
1722428409038,44,1000000,1
1722428409041,43,1000000,1
1722428409042,43,1000000,1
1722428409044,43,1000000,1
1722428409047,42,1000000,1
1722428409049,42,1000000,1
1722428409051,42,1000000,1
1722428409053,43,1000000,1
1722428409055,43,1000000,1
1722428409057,45,1000000,2
1722428409059,43,1000000,1
1722428409061,43,1000000,1
1722428409063,43,1000000,1
1722428409065,42,1000000,1
1722428409067,42,1000000,1
1722428409069,42,1000000,1
1722428409071,42,1000000,1
1722428409073,43,1000000,1
1722428409075,45,1000000,1
1722428409077,45,1000000,2
1722428409079,44,1000000,1
1722428409081,43,1000000,1
1722428409083,43,1000000,1
1722428409085,42,1000000,1
1722428409087,42,1000000,1
1722428409089,42,1000000,1
1722428409091,43,1000000,1
1722428409093,42,1000000,1
1722428409095,44,1000000,1
1722428409097,44,1000000,2
1722428409099,44,1000000,1
1722428409101,43,1000000,1
1722428409103,42,1000000,1
1722428409105,42,1000000,1
1722428409107,42,1000000,1
1722428409109,42,1000000,1
1722428409111,42,1000000,1
1722428409113,43,1000000,1
1722428409115,44,1000000,1
1722428409117,44,1000000,2
1722428409119,43,1000000,1
1722428409121,43,1000000,1
1722428409123,43,1000000,1
1722428409125,42,1000000,1
1722428409127,42,1000000,1
1722428409129,42,1000000,1
1722428409131,42,1000000,1
1722428409133,42,1000000,1
1722428409135,45,1000000,1
1722428409137,45,1000000,2
1722428409139,44,1000000,1
1722428409142,43,1000000,1
1722428409144,43,1000000,1
1722428409145,42,1000000,1
1722428409147,42,1000000,1
1722428409150,42,1000000,1
1722428409152,43,1000000,1
1722428409154,43,1000000,1
1722428409156,45,1000000,1
1722428409158,45,1000000,2
1722428409160,43,1000000,1
1722428409162,43,1000000,1
1722428409164,43,1000000,1
1722428409166,42,1000000,1
1722428409168,43,1000000,1
1722428409170,42,1000000,1
1722428409172,42,1000000,1
1722428409174,43,1000000,1
1722428409176,45,1000000,1
1722428409178,44,1000000,2
1722428409180,44,1000000,1
1722428409182,43,1000000,1
1722428409184,43,1000000,1
1722428409186,42,1000000,1
1722428409188,42,1000000,1
1722428409190,42,1000000,1
1722428409192,42,1000000,1
1722428409194,43,1000000,1
1722428409196,44,1000000,1
1722428409198,44,1000000,2
1722428409200,43,1000000,1
1722428409202,43,1000000,1
1722428409204,43,1000000,1
1722428409206,42,1000000,1
1722428409208,42,1000000,1
1722428409210,42,1000000,1
1722428409212,42,1000000,1
1722428409214,43,1000000,1
1722428409216,45,1000000,1
1722428409218,44,1000000,1
1722428409220,43,1000000,1
1722428409222,43,1000000,1
1722428409224,43,1000000,1
1722428409226,43,1000000,1
1722428409228,42,1000000,1
1722428409230,42,1000000,1
1722428409232,42,1000000,1
1722428409234,43,1000000,1
1722428409236,45,1000000,1
1722428409238,44,1000000,1
1722428409240,43,1000000,1
1722428409242,43,1000000,1
