x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1.0,2.0,3.0,14:25:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-45.98175482596269,49,1000000,2
1.0,2.0,3.0,14:25:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-45.793638726347716,322,1000000,103
1.0,2.0,3.0,14:25:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.669689873496097,322,1000000,103
1.0,2.0,3.0,14:25:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.121323519787794,1608,996093,2602
1.0,2.0,3.0,14:25:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-15.653594466747471,1608,996093,2602
1.0,2.0,3.0,14:25:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-44.21251637576569,939,1000000,877
1.0,2.0,3.0,14:25:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.0269990072725,939,1000000,877
1.0,2.0,3.0,14:25:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-14.731793761161263,779,1000000,606
1.0,2.0,3.0,14:25:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.267363007325933,1629,210937,12626
1.0,2.0,3.0,14:25:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.818717983998766,1557,281250,8641
1.0,2.0,3.0,14:25:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.31832077229321,1557,445312,5443
1.0,2.0,3.0,14:25:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.710605781600435,1620,148437,17702
1.0,2.0,3.0,14:25:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.099259957217086,208,1000000,43
1.0,2.0,3.0,14:25:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.24311769319268,254,1000000,63
1.0,2.0,3.0,14:25:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-29.26232303296048,50,1000000,2
1.0,2.0,3.0,14:25:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-15.269062285411636,932,1000000,868
1.0,2.0,3.0,14:25:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.985222426248583,1188,1000000,1397
1.0,2.0,3.0,14:25:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.7301510951972,696,1000000,484
1.0,2.0,3.0,14:25:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.131330691750655,89,1000000,8
1.0,2.0,3.0,14:25:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.778498258993025,1129,1000000,1281
1.0,2.0,3.0,14:25:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.436922698426635,1886,804687,4439
1.0,2.0,3.0,14:25:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.895954582040098,358,1000000,125
1.0,2.0,3.0,14:25:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.40866543903983,358,1000000,125
1.0,2.0,3.0,14:25:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.90880282577863,358,1000000,125
1.0,2.0,3.0,14:25:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.284725192023643,507,1000000,249
1.0,2.0,3.0,14:25:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-48.50711653894699,414,1000000,168
1.0,2.0,3.0,14:25:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-29.393079594339014,414,1000000,168
1.0,2.0,3.0,14:25:47,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.6685661788444,1637,222656,12020
1.0,2.0,3.0,14:25:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.205102150769925,311,1000000,98
1.0,2.0,3.0,14:25:49,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.099231850996354,311,1000000,98
1.0,2.0,3.0,14:25:50,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.598960241698556,809,1000000,654
1.0,2.0,3.0,14:25:51,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.676195714793717,464,1000000,215
1.0,2.0,3.0,14:25:52,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.091803337587173,464,1000000,215
1.0,2.0,3.0,14:25:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.838649429275087,1646,703125,3853
1.0,2.0,3.0,14:25:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.418496065364835,852,1000000,739
1.0,2.0,3.0,14:25:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.329861968886874,852,1000000,739
1.0,2.0,3.0,14:25:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.31298768075319,845,1000000,724
1.0,2.0,3.0,14:25:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.446260368963223,927,1000000,855
1.0,2.0,3.0,14:25:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.898623715111448,930,1000000,874
