x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1.0,2.0,3.0,14:08:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.431086467821338,50,1000000,2
1.0,2.0,3.0,14:08:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.15467083464403,49,1000000,2
1.0,2.0,3.0,14:08:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.444078779034683,573,1000000,323
1.0,2.0,3.0,14:08:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.854950216611158,573,1000000,323
1.0,2.0,3.0,14:08:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.6311607669593,348,1000000,121
1.0,2.0,3.0,14:08:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.69974301073065,144,1000000,21
1.0,2.0,3.0,14:08:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.329518111497393,382,1000000,144
1.0,2.0,3.0,14:08:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.407772456190195,73,1000000,5
1.0,2.0,3.0,14:08:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.75737578323836,1376,1000000,1890
1.0,2.0,3.0,14:08:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.870906265258213,689,1000000,474
1.0,2.0,3.0,14:08:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.434855209635167,1173,1000000,1364
1.0,2.0,3.0,14:08:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.24922369420952,411,1000000,168
1.0,2.0,3.0,14:08:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.35436087924053,280,1000000,78
1.0,2.0,3.0,14:08:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.354667926004698,1635,230468,11599
1.0,2.0,3.0,14:08:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.441539132517512,605,1000000,372
1.0,2.0,3.0,14:08:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.670039011570736,107,1000000,11
1.0,2.0,3.0,14:08:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.733631319317972,107,1000000,11
1.0,2.0,3.0,14:08:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.468040005405243,530,1000000,281
1.0,2.0,3.0,14:08:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.907218183622966,123,1000000,15
1.0,2.0,3.0,14:08:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.14343810858861,123,1000000,15
1.0,2.0,3.0,14:08:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.334263951141203,610,1000000,364
1.0,2.0,3.0,14:08:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.98166385377807,266,1000000,70
1.0,2.0,3.0,14:08:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.131018534630073,266,1000000,70
1.0,2.0,3.0,14:08:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.07765954511398,663,1000000,439
1.0,2.0,3.0,14:08:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.12999423334844,463,1000000,213
1.0,2.0,3.0,14:08:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.7922185145368,463,1000000,213
1.0,2.0,3.0,14:08:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.229948518202193,360,1000000,130
1.0,2.0,3.0,14:08:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-36.01926763992711,275,1000000,76
1.0,2.0,3.0,14:08:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.228016536366724,279,1000000,76
1.0,2.0,3.0,14:08:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.85144005127234,279,1000000,76
1.0,2.0,3.0,14:08:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-39.969438732409216,161,1000000,26
1.0,2.0,3.0,14:08:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.79490964225588,162,1000000,26
1.0,2.0,3.0,14:08:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.893736872366148,443,1000000,198
1.0,2.0,3.0,14:08:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-40.88800184844587,90,1000000,8
1.0,2.0,3.0,14:08:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.4497526446754,91,1000000,8
1.0,2.0,3.0,14:08:47,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.498824104312234,91,1000000,8
1.0,2.0,3.0,14:08:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.069230824753205,519,1000000,271
1.0,2.0,3.0,14:08:49,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.752268905501374,528,1000000,278
1.0,2.0,3.0,14:08:50,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-31.314951533434716,623,1000000,389
1.0,2.0,3.0,14:08:51,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.015692509845607,623,1000000,389
1.0,2.0,3.0,14:08:52,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.963544951137337,1649,976562,2784
1.0,2.0,3.0,14:08:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.28401119857204,1189,1000000,1420
1.0,2.0,3.0,14:08:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.841255812764686,1189,1000000,1420
1.0,2.0,3.0,14:08:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.13007200404521,311,1000000,96
1.0,2.0,3.0,14:08:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.423575656302432,58,1000000,3
1.0,2.0,3.0,14:08:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-36.128247477253694,58,1000000,3
1.0,2.0,3.0,14:08:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.020595065768802,196,1000000,37
1.0,2.0,3.0,14:08:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.079585499631108,968,1000000,937
1.0,2.0,3.0,14:09:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.017607910200773,968,1000000,937
1.0,2.0,3.0,14:09:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.213833802516078,1167,1000000,1361
1.0,2.0,3.0,14:09:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.630794493728708,477,1000000,230
1.0,2.0,3.0,14:09:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.90904378389888,477,1000000,230
1.0,2.0,3.0,14:09:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.50397427125769,425,1000000,181
1.0,2.0,3.0,14:09:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.696983275604225,55,1000000,3
1.0,2.0,3.0,14:09:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.98043609501243,55,1000000,3
1.0,2.0,3.0,14:09:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.571625502479428,205,1000000,40
1.0,2.0,3.0,14:09:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.405307540345696,205,1000000,40
1.0,2.0,3.0,14:09:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.916320895521757,205,1000000,40
1.0,2.0,3.0,14:09:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.094573789324144,83,1000000,6
1.0,2.0,3.0,14:09:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.988352042989835,603,1000000,366
1.0,2.0,3.0,14:09:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.969538388122665,199,1000000,39
1.0,2.0,3.0,14:09:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.50787524770586,492,1000000,244
1.0,2.0,3.0,14:09:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.51167084412539,492,1000000,244
1.0,2.0,3.0,14:09:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.77294734728109,88,1000000,7
1.0,2.0,3.0,14:09:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.18560014693398,98,1000000,9
