timestamp,x,y,z,utc,rm,dbm,buffer_voltage_mv,resistance,pwr_nw
1720183333.8172462,1.0,2.0,3.0,14:42:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.743102621964397,87,1000000,7
1720183334.4331656,1.0,2.0,3.0,14:42:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.179923317153573,580,1000000,336
1720183335.0475254,1.0,2.0,3.0,14:42:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.84612237513553,769,1000000,609
1720183335.65398,1.0,2.0,3.0,14:42:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.172312898468533,871,1000000,758
1720183336.286911,1.0,2.0,3.0,14:42:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.98012581624336,37,1000000,1
1720183336.850893,1.0,2.0,3.0,14:42:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.895488150923242,45,1000000,2
1720183337.4691403,1.0,2.0,3.0,14:42:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.64417261326423,1636,414062,6448
1720183338.1077173,1.0,2.0,3.0,14:42:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.284778923711887,103,1000000,11
1720183338.6873584,1.0,2.0,3.0,14:42:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.617990217152766,119,1000000,12
1720183339.2919972,1.0,2.0,3.0,14:42:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.780406494731892,1636,429687,6228
