timestamp,x,y,z,utc,rm,dbm,buffer_voltage_mv,resistance,pwr_nw
1720394668.164105,1.0,2.0,3.0,01:24:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.146880000834372,1605,179687,14336
1720394668.7259164,1.0,2.0,3.0,01:24:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.076915874246346,1616,179687,14425
1720394669.3397198,1.0,2.0,3.0,01:24:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.052947217395037,1602,179687,14282
1720394669.9047353,1.0,2.0,3.0,01:24:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.13827607280254,1613,179687,14461
1720394670.499296,1.0,2.0,3.0,01:24:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.073308191519786,1610,179687,14497
1720394671.131236,1.0,2.0,3.0,01:24:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.28591164049292,1613,179687,14479
1720394671.736941,1.0,2.0,3.0,01:24:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.306493858874198,1611,179687,14425
1720394672.3560753,1.0,2.0,3.0,01:24:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.336986909528065,1615,175781,14782
1720394672.9625006,1.0,2.0,3.0,01:24:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.33457249148121,1617,175781,14874
1720394673.5691512,1.0,2.0,3.0,01:24:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.323540227662782,1618,175781,14893
1720394674.1582472,1.0,2.0,3.0,01:24:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.345700051364474,1620,175781,14929
1720394674.7447147,1.0,2.0,3.0,01:24:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.338668991381958,1608,175781,14746
1720394675.3448436,1.0,2.0,3.0,01:24:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.32675404346101,1614,175781,14911
1720394675.9279435,1.0,2.0,3.0,01:24:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.303763672819095,1619,175781,14911
1720394676.5509288,1.0,2.0,3.0,01:24:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.002671071731058,1577,699218,3556
1720394677.1662407,1.0,2.0,3.0,01:24:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.001957884095148,1574,699218,3543
1720394677.7941601,1.0,2.0,3.0,01:24:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.003666414856433,1560,699218,3480
1720394678.3806038,1.0,2.0,3.0,01:24:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.987949195790335,1576,707031,3508
