timestamp,x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1718719795.2131758,1.0,2.0,3.0,16:09:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.84809555509096,49,1000000,2
1718719795.7519174,1.0,2.0,3.0,16:09:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.77572544597355,49,1000000,2
1718719796.2810512,1.0,2.0,3.0,16:09:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.50269423221438,49,1000000,2
1718719796.8203259,1.0,2.0,3.0,16:09:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.581907845757,49,1000000,2
1718719797.371611,1.0,2.0,3.0,16:09:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.81455034102163,49,1000000,2
1718719797.9108438,1.0,2.0,3.0,16:09:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.66356856344527,49,1000000,2
1718719798.4718192,1.0,2.0,3.0,16:09:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.82407793317269,49,1000000,2
1718719799.041827,1.0,2.0,3.0,16:09:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.88230167121021,49,1000000,2
1718719799.5553532,1.0,2.0,3.0,16:09:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.54879556646,49,1000000,2
1718719800.102226,1.0,2.0,3.0,16:09:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.60964137115292,49,1000000,2
1718719800.666603,1.0,2.0,3.0,16:09:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.86270456644644,49,1000000,2
1718719801.22,1.0,2.0,3.0,16:09:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.87418396143728,49,1000000,2
1718719801.777083,1.0,2.0,3.0,16:10:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.54406580548434,49,1000000,2
1718719802.3277051,1.0,2.0,3.0,16:10:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.69942344196998,49,1000000,2
1718719802.883154,1.0,2.0,3.0,16:10:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.69325707688719,49,1000000,2
1718719803.4093223,1.0,2.0,3.0,16:10:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.74396057093122,50,1000000,2
1718719803.9334474,1.0,2.0,3.0,16:10:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.60886321520847,50,1000000,2
1718719804.469064,1.0,2.0,3.0,16:10:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.80010967449165,50,1000000,2
1718719805.010487,1.0,2.0,3.0,16:10:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-81.73685925018478,49,1000000,2
1718719805.6002455,1.0,2.0,3.0,16:10:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.072289297682044,49,1000000,2
1718719806.200279,1.0,2.0,3.0,16:10:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.127678156212202,1632,570312,4670
1718719806.8610997,1.0,2.0,3.0,16:10:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.062845464155643,1618,570312,4613
1718719807.4665542,1.0,2.0,3.0,16:10:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.946516467048845,1618,570312,4613
1718719808.1049697,1.0,2.0,3.0,16:10:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.04882716662042,1618,570312,4618
1718719808.7071333,1.0,2.0,3.0,16:10:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.98919569974989,1618,570312,4618
1718719809.2878525,1.0,2.0,3.0,16:10:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.98625781375821,1623,570312,4601
1718719809.8718917,1.0,2.0,3.0,16:10:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.09942773850853,1620,570312,4607
1718719810.4667318,1.0,2.0,3.0,16:10:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.993470631682353,1620,570312,4607
1718719811.066956,1.0,2.0,3.0,16:10:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.97087535470854,1625,570312,4618
1718719811.6451993,1.0,2.0,3.0,16:10:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.969668586150615,1625,570312,4618
1718719812.2441003,1.0,2.0,3.0,16:10:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.133578919562154,1621,570312,4584
1718719812.8478165,1.0,2.0,3.0,16:10:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.09373718649987,1621,570312,4584
1718719813.382187,1.0,2.0,3.0,16:10:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.96545602338406,1623,570312,4618
1718719813.9798374,1.0,2.0,3.0,16:10:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.184898974668712,1624,570312,4596
1718719814.5658765,1.0,2.0,3.0,16:10:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.079048132768573,1624,570312,4596
1718719815.1297092,1.0,2.0,3.0,16:10:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.475196185361227,1616,570312,4578
1718719815.739963,1.0,2.0,3.0,16:10:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.40275839594289,1616,570312,4578
1718719816.335309,1.0,2.0,3.0,16:10:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.45548043913644,1635,324218,8255
