timestamp,x,y,z,utc,rm,dbm,buffer_voltage_mv,resistance,pwr_nw
1720536305.6946273,1.0,2.0,3.0,16:45:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536305.878408,1.0,2.0,3.0,16:45:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536306.4312694,1.0,2.0,3.0,16:45:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536306.9122279,1.0,2.0,3.0,16:45:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536307.4127793,1.0,2.0,3.0,16:45:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536307.9391453,1.0,2.0,3.0,16:45:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536308.4385018,1.0,2.0,3.0,16:45:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536308.9280667,1.0,2.0,3.0,16:45:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536309.4576337,1.0,2.0,3.0,16:45:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536309.9836836,1.0,2.0,3.0,16:45:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536310.5052133,1.0,2.0,3.0,16:45:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2097408
1720536310.9804127,1.0,2.0,3.0,16:45:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536311.463761,1.0,2.0,3.0,16:45:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536312.000663,1.0,2.0,3.0,16:45:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536312.4810286,1.0,2.0,3.0,16:45:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536313.0236151,1.0,2.0,3.0,16:45:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536313.491859,1.0,2.0,3.0,16:45:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536314.0574617,1.0,2.0,3.0,16:45:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536314.5080035,1.0,2.0,3.0,16:45:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536315.0685074,1.0,2.0,3.0,16:45:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536315.5382423,1.0,2.0,3.0,16:45:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536316.05073,1.0,2.0,3.0,16:45:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536316.5377972,1.0,2.0,3.0,16:45:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536317.1012695,1.0,2.0,3.0,16:45:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536317.5636318,1.0,2.0,3.0,16:45:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536318.0622597,1.0,2.0,3.0,16:45:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536318.582417,1.0,2.0,3.0,16:45:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149590
1720536319.1342964,1.0,2.0,3.0,16:45:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536319.6309333,1.0,2.0,3.0,16:45:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536320.1436303,1.0,2.0,3.0,16:45:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536320.6493466,1.0,2.0,3.0,16:45:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536321.1813834,1.0,2.0,3.0,16:45:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536321.620832,1.0,2.0,3.0,16:45:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536322.1395457,1.0,2.0,3.0,16:45:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536322.6729498,1.0,2.0,3.0,16:45:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536323.189138,1.0,2.0,3.0,16:45:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536323.7004795,1.0,2.0,3.0,16:45:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536324.1860404,1.0,2.0,3.0,16:45:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536324.7362077,1.0,2.0,3.0,16:45:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536325.1895018,1.0,2.0,3.0,16:45:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
1720536325.7034357,1.0,2.0,3.0,16:45:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,2097152,11292,2149380
